V1,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,AT2,AT3,AT4,AT5,AT8,ROW1,ROW1_2
Ecoli,0,0,4,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Clavibacter_michiganiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelothrix_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brenneria_goodwinii,15,36,15,96,9,20,88,15,3819,515,3924,2464,18,28,38,52,171,58,26,85,131,852,2942,30,15,14,14,16,161,1557,262
Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelothrix_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acholeplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pectobacterium_carotovorum,0,0,0,0,0,0,0,0,25,5,39,4,0,0,0,0,1,0,0,0,0,2,15,0,0,0,0,0,0,2,0
Dickeya_dadantii,0,0,0,1,0,0,0,0,11,3,17,5,1,0,0,1,1,0,0,0,0,1,13,0,0,0,0,0,0,1,0
Salmonella_enterica,1,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1
Bautenbergia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerochaeta,3,3,3,3,2,3,2,3,3,3,3,3,3,3,0,3,2,3,3,1,3,3,3,3,3,3,3,2,2,2,3
Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,11
Erwinia_bilingiae,0,0,0,0,0,0,0,0,1,109,6,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oak,17982,37934,58126,3959,5756,38219,4625,14686,44330,42056,65823,18169,33408,34189,806,39663,7272,19161,32994,2081,77259,61701,57838,10174,49707,19768,25678,4430,16288,71375,35023
Gibbsiella_quercinecans,14,20,14,29,9,15,26,14,27,18,47,33,232,195,2,784,18,530,14,19,24,579,320,19,14,14,14,15,14,23,17
Serratia_marcecens,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,4,1,3,0,0,0,3,2,0,0,0,0,0,0,0,0
Halomonas_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Denitrovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonsdalea_britannica,14,14,14,14,6,14,14,14,30,17,36,22,14,15,3,16,15,14,14,5,14,46,1607,16,14,14,14,16,20,16,20
Idiomarina,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1
Porphyromonas,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clostridioides,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,290,1,0,0,1,0,27,0,0,0,0,0,0,0,77,179
Halomonas_2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rahnella_victoriana,14,16,15,14,9,15,14,14,19,400,24,15,15,14,2,99,14,15,14,6,14,20,36,15,14,15,14,15,16,19,21